,0_SV,0_time,0_layer,1_SV,1_time,1_layer,2_SV,2_time,2_layer,3_SV,3_time,3_layer,4_SV,4_time,4_layer,5_SV,5_time,5_layer,6_SV,6_time,6_layer,7_SV,7_time,7_layer,8_SV,8_time,8_layer,9_SV,9_time,9_layer
488,-0.0076414557566184494,44.41187620162964,974,-0.003453714472140784,71.14832520484924,1714,0.002272227181003628,56.740947008132935,1309,-0.00730885732880886,50.054848194122314,1115,0.005568476176700709,36.28721022605896,765,-0.011485372218617645,31.681858777999878,622,0.01580659292470704,79.47495555877686,1939,0.0011081935681692156,19.06828999519348,275,0.005554808551304668,51.80261850357056,1184,-0.0005881215897074529,18.556910276412964,266
489,-0.008103219465333593,51.092448472976685,1173,-0.0034429548954477366,22.86401677131653,392,0.002032990115029474,66.3464527130127,1613,-0.007327187912804731,50.84450817108154,1116,0.0053131501285397275,40.899542570114136,882,-0.011348409555396267,24.719173669815063,447,0.015815412389988827,28.376286506652832,537,0.0012143503646461313,10.803796529769897,48,0.005412537102796594,28.66146159172058,540,-0.0006081386488311168,28.448062896728516,540
490,-0.00799789618086184,73.55773854255676,1786,-0.0035963802619281716,44.21242666244507,967,0.0019744959965257223,49.14266061782837,1112,-0.00730586889562198,9.421408414840698,16,0.005215124175893314,28.680102348327637,546,-0.01120130095608124,57.817493200302124,1354,0.015781083684831942,17.081490993499756,227,0.0012181440098950897,72.71431922912598,1746,0.0054203598416749914,30.865944385528564,598,-0.0006797732500826049,67.51148438453674,1614
491,-0.0077825893716114355,27.785131216049194,522,-0.0037541080538819726,30.409751653671265,615,0.002303283994759973,24.44332265853882,430,-0.007109694364594241,70.46298813819885,1687,0.005146993127295642,48.88293480873108,1096,-0.011115049080150895,28.362237691879272,538,0.014179306665087158,42.402421951293945,923,0.001245731260718367,23.16305136680603,393,0.005474196095776752,14.327984094619751,150,-0.0005034908531157974,24.64920663833618,438
492,-0.00780756841083086,36.9854052066803,775,-0.003864846896931826,36.56166648864746,751,0.0023455577496341007,10.181652307510376,27,-0.007046387234275763,65.4931709766388,1559,0.005091743827107954,61.710209131240845,1447,-0.010924629942640584,20.831765174865723,328,0.013873189143670283,27.59482431411743,517,0.0013541604635923417,10.207505702972412,28,0.005467010922654406,9.77282190322876,13,-0.00045866632558269615,75.05397033691406,1831
493,-0.007692003419042121,49.60202074050903,1131,-0.003761846406257129,44.65330696105957,1004,0.0023661080883582136,36.33013415336609,760,-0.007149773208718543,58.89896512031555,1364,0.005394630465912916,72.44847512245178,1735,-0.011025997308584373,39.78923058509827,849,0.013761306943198473,60.9475519657135,1435,0.0009078826257574396,51.03916049003601,1160,0.0055848713587170196,26.749958515167236,492,-0.0005078617377802452,16.07648277282715,184
494,-0.007643791039784754,64.40611171722412,1523,-0.003984565445871089,51.37951350212097,1169,0.0024274284189397663,54.25895118713379,1242,-0.007124103681005606,69.24056029319763,1659,0.005324337819609979,17.35924005508423,235,-0.01128427681296764,75.18270945549011,1877,0.013710004873950098,51.417386531829834,1185,0.0008896827697753889,15.764862775802612,176,0.005433894046629318,34.0590660572052,692,-0.0005490866574374136,75.73129224777222,1845
495,-0.007729922210977928,46.875261068344116,1036,-0.004519132837172502,12.395415544509888,87,0.0023075081408023856,70.69878482818604,1704,-0.0070829965895222,11.158982515335083,61,0.005144942071168653,57.83874297142029,1340,-0.011255635970061838,9.153554916381836,9,0.01376578860705901,34.47663593292236,716,0.0007496682866927098,19.69889497756958,307,0.005408776142904835,57.89480233192444,1384,0.000494534450192603,51.60806488990784,1185
496,-0.007595652305863997,42.280895948410034,911,-0.004532723359658709,68.68100070953369,1655,0.002231424363326261,56.222317934036255,1307,-0.007073399646421306,51.40524935722351,1177,0.005111807788641639,51.046783447265625,1163,-0.011126672358100335,22.050267219543457,359,0.013631483318820109,16.49489998817444,209,0.00037653453393241346,75.65166592597961,1839,0.005386678625640255,81.2817587852478,1996,0.0006233838722259682,72.70761919021606,1764
497,-0.007632397025464533,11.66676950454712,75,-0.004509220400967296,72.79631400108337,1748,0.0026892865278634703,76.67077994346619,1838,-0.007190213983796201,13.713579177856445,130,0.005286850364332697,47.18690323829651,1048,-0.011062275812807823,55.96609902381897,1297,0.014283095976435059,40.797879695892334,876,0.00017248854100943386,44.695390462875366,976,0.005463272452833182,74.57292604446411,1804,0.00042923566806747014,27.790775537490845,515
498,-0.007499688135120342,13.885023355484009,138,-0.004366182850931379,62.87273859977722,1498,0.002762096081085819,10.674756288528442,44,-0.006714848812691905,44.61339521408081,974,0.005283464291291628,24.016567707061768,411,-0.010901706371613171,25.77328848838806,470,0.014403410211115918,59.6981565952301,1384,0.0004829058427371081,47.60734462738037,1029,0.005233213036714908,22.816909551620483,378,0.0003916623597154613,14.053076982498169,142
499,-0.0075647020339965855,53.470279693603516,1216,-0.0040301105976104975,31.839008808135986,625,0.0026482799053192158,45.06324911117554,982,-0.0069669194221496505,16.20184063911438,190,0.0052614108324050895,16.551629304885864,215,-0.010622354030609142,78.7125244140625,1942,0.014401003003120446,51.65243363380432,1203,0.0004698405265808087,20.489165782928467,336,0.005034022450447081,55.404226303100586,1285,0.00050797641277313,16.50402522087097,210
500,-0.007409835884908957,76.8140594959259,1871,-0.004260360242839845,36.7049343585968,769,0.0013916822012789015,69.98161101341248,1672,-0.006724082900140568,33.76312446594238,691,0.004866632872712826,32.65083718299866,655,-0.010587781132338301,22.225396871566772,370,0.01442935985481432,56.520923137664795,1304,0.00028456292466488956,49.93065595626831,1119,0.004948729288554238,80.4739339351654,1961,0.0004898240704260401,52.5341956615448,1216
501,-0.007401848694242806,74.00435853004456,1821,-0.004291237469213441,56.894426584243774,1309,0.001227404135631852,64.94239974021912,1536,-0.0064481554990745565,69.03317713737488,1648,0.004580607689709301,51.38765239715576,1189,-0.01059031011573823,68.71714782714844,1653,0.01461085510918821,62.03611755371094,1439,0.00017505361739382616,32.646644115448,658,0.005248254870038582,61.64398407936096,1437,0.0003084674536944362,59.533241271972656,1371
502,-0.007270813225277851,46.13275909423828,1020,-0.00429828799742593,60.52980995178223,1424,0.0012338866533389403,21.385027408599854,353,-0.006403684023597361,12.445851802825928,98,0.004604696160993328,68.05387735366821,1612,-0.010666577289877082,45.047664642333984,1024,0.014709667941448016,58.29455614089966,1352,0.00018487524085679827,77.032785654068,1896,0.005718654121603689,71.77893400192261,1724,0.0005379921162341722,31.65890336036682,625
503,-0.007337493910675959,63.40307807922363,1504,-0.004477581452755725,81.06827211380005,1977,0.0011857142524113748,49.022279500961304,1105,-0.0062243910062880665,17.642257690429688,240,0.004413878515599264,34.55705428123474,703,-0.010798455467299822,36.169891119003296,748,0.014828834741834634,64.33628487586975,1530,0.00023661849517670706,11.3740074634552,55,0.005814818044503528,71.63848876953125,1730,-9.038464890586241e-05,80.33620929718018,1979
504,-0.007299377304492613,39.05899405479431,830,-0.004512085418890042,65.87422728538513,1565,0.0012942287001279338,46.68615174293518,1042,-0.005876588113237128,68.76874923706055,1648,0.004558226731744141,52.763835191726685,1201,-0.010300946235656751,72.01650524139404,1731,0.014649112153761482,75.3524227142334,1830,0.00016648851998961615,57.5266854763031,1318,0.005819175266983483,54.2370970249176,1245,-8.80866947740635e-05,20.62275719642639,324
505,-0.008081608139007932,41.13599395751953,877,-0.00448436475554005,78.80297088623047,1917,0.0010465177387116945,21.631383657455444,349,-0.006082608176785489,63.352283000946045,1493,0.004753106549794493,35.77382946014404,740,-0.010441300190484585,66.26117253303528,1577,0.014565803198946348,79.57081699371338,1938,0.00016877879738336313,78.91234421730042,1925,0.00555267293933823,58.24950098991394,1353,-0.000258776627981618,63.633641481399536,1493
506,-0.007647285447318175,76.70196151733398,1889,-0.005324060865172762,71.69998788833618,1715,0.0008974771292722221,31.961742877960205,630,-0.006034154746189148,37.99163031578064,800,0.004562088135901756,21.503079891204834,348,-0.010288443673526996,60.60756039619446,1430,0.014554309774432686,23.052523136138916,380,0.00012565176397620625,20.121983528137207,299,0.005702806412585857,62.00518727302551,1429,-0.00013710831749368937,70.60636591911316,1696
507,-0.007589158345395188,19.448188543319702,288,-0.005294169731966178,51.818098306655884,1196,0.000911534771205874,36.32797408103943,762,-0.005717088035711146,43.978116273880005,957,0.004594419650205475,18.38227415084839,254,-0.010316016284499595,61.37944531440735,1438,0.014637268669023313,32.94413757324219,658,0.00014687851658017433,77.1338038444519,1869,0.005844630359664675,45.404619455337524,1003,5.349622467371186e-05,28.03731942176819,528
508,-0.007346666632092071,77.28024315834045,1874,-0.005233616397985096,40.845945835113525,879,0.0008631657757787218,21.74110174179077,354,-0.005394668265269634,27.316246271133423,500,0.004512033317318598,46.79352927207947,1038,-0.010892702694726145,21.84548258781433,357,0.014599539442006194,79.3522515296936,1927,0.00015123091886928654,66.46974897384644,1584,0.0058425367464016815,16.512566804885864,204,-2.066840825708771e-05,18.52065396308899,267
509,-0.008335840117697623,77.60311150550842,1886,-0.005185319161882611,16.556415796279907,213,0.0007184673758114105,65.27368927001953,1552,-0.005885375948513249,46.691778898239136,1032,0.004730209182290468,34.18015742301941,702,-0.01109380161061008,58.68180727958679,1356,0.014648775142781898,79.36758756637573,1941,0.000237698414746451,27.11044454574585,506,0.005609616345050286,72.85115790367126,1774,-2.783046049230474e-05,44.1939537525177,978
